contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-22	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	22	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										60		5.62		3.00E-04																																							2.57E-03		1.89E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-23	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	23	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										60		31.59		3.00E-04																																							2.35E-03		1.79E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-24	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	24	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										60		177.56		3.00E-04																																							2.17E-03		1.68E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-25	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	25	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										60		997.34		3.00E-04																																							1.98E-03		1.52E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-26	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	26	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										70		1		3.00E-04																																							3.32E-03		2.57E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-27	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	27	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										70		5.62		3.00E-04																																							3.04E-03		2.40E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-28	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	28	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										70		31.59		3.00E-04																																							2.78E-03		2.27E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-29	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	29	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										70		177.56		3.00E-04																																							2.55E-03		2.15E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-30	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	30	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										70		997.34		3.00E-04																																							2.31E-03		1.97E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-31	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	31	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										80		1		3.00E-04																																							3.93E-03		3.22E-04		2016-04-15T14:55:59.000-05:00					
